kernel,interface,time
lu,IPoIB,278.78
bt,ETH,557.05
sp,IB,481.44
mg,ETH,85.09
bt,IB,413.97
is,ETH,151.30
ep,ETH,37.22
cg,IPoIB,180.36
cg,IB,182.51
ft,IB,143.68
bt,IPoIB,690.34
cg,ETH,766.29
is,IB,10.27
ep,IPoIB,37.19
